ESTADO,Lat,Long,13/03/2020,14/03/2020
Aguascalientes,21.53,-102.12,1,
Baja California,31.1,-115.12,5,
Baja California Sur,25.5,-111.5,1,
Ciudad de Mexico,19.413,-99.15,28,
Colima,19.14,-103.43,2,
Durango,24.03,-104.39,2,
Estado de Mexico,19.28,-99.66,8,
Guanajuato,21,-101.2,5,
Guerrero,17.3,-100,1,
Hidalgo,24.15,-99.26,1,
Jalisco,20,-104,4,
Morelos,26.42,-107.4,1,
Nuevo Leon,25.68,-100.3,3,
Queretaro,20.3,-100,8,
Quintana Roo,19.46,-88.32,4,
San Luis Potosi,22.15,-100.97,1,
Sinaloa,24.85,-107.45,3,
Tabasco,17.45,-93.3,2,
Veracruz,19.1,-96.1,2,
